k,f_b,z,n,error_68_m,error_68_p,error_95_m,error_95_p
0.0999999999999921,0.225,0.125,5.0,-0.0002837519209841764,0.0003206973441675311,-0.0003391700557592079,0.0008602187760791581
0.0999999999999921,0.275,0.125,12.0,-0.0001633282853738194,0.00021461786371797562,-0.0003003542466582947,0.0004515518759850523
0.0999999999999921,0.325,0.125,19.0,-0.00014262318924318786,0.00012822989561988855,-0.000294931324409703,0.00024465863903149664
0.0999999999999921,0.375,0.125,23.0,-0.00012051402508234605,0.00017182546577943958,-0.00023729377732355835,0.00034104938060451444
0.0999999999999921,0.425,0.125,38.0,-0.00011972814443839246,0.0001443382619251274,-0.00022474053823074238,0.00030677048469507796
0.0999999999999921,0.475,0.125,38.0,-0.00013448739636466828,0.0001559984684750844,-0.00024708231471592376,0.0003255349282767591
0.0999999999999921,0.525,0.125,43.0,-8.546831855297163e-05,0.00011927504895364298,-0.00015832537016058845,0.000262020524466914
0.0999999999999921,0.575,0.125,44.0,-0.0001006503076114306,0.00013536893202736145,-0.00019456962702735472,0.00027931172294908354
0.0999999999999921,0.625,0.125,53.0,-9.913904944878822e-05,0.00012111121048669177,-0.00019173673751107052,0.00024298233179578183
0.0999999999999921,0.675,0.125,75.0,-6.232458030440783e-05,7.633450525218699e-05,-0.00012302469798574652,0.00015489098518701037
0.0999999999999921,0.725,0.125,95.0,-7.522086498648485e-05,8.253135117281695e-05,-0.00014400834081168814,0.00017234848061027495
0.0999999999999921,0.775,0.125,43.0,-0.00015919445446255676,0.00013574501618463216,-0.0003116933849389209,0.00025759531890022914
0.0999999999999921,0.825,0.125,11.0,-9.769178942894786e-06,7.975376790039415e-06,-1.9873192138648725e-05,1.5070939459872449e-05
0.1270454343320576,0.225,0.125,5.0,-0.0004309359121123845,0.0005341184745384588,-0.0006412321137263976,0.0013760982286532331
0.1270454343320576,0.275,0.125,12.0,-0.0002684250683781979,0.00034308929552174806,-0.00046276886118877433,0.0007305536160775967
0.1270454343320576,0.325,0.125,19.0,-0.00021081832230362735,0.00019912384642772622,-0.0004366934660357163,0.0003792801516518263
0.1270454343320576,0.375,0.125,24.0,-0.00018879151716746616,0.0001924470468656374,-0.0003410043004019488,0.00040863438292564964
0.1270454343320576,0.425,0.125,37.0,-0.00015683057356380686,0.0001753938672907214,-0.00029648297199312627,0.00036909668613390687
0.1270454343320576,0.475,0.125,38.0,-0.00015266085113649455,0.00019304608588257272,-0.0003123234725974653,0.0003904717368999741
0.1270454343320576,0.525,0.125,43.0,-0.00010613405797978272,0.00013646730368405553,-0.00019316052173921542,0.0002932510083005123
0.1270454343320576,0.575,0.125,44.0,-0.00012618804810670564,0.00014514398364648328,-0.0002349051202781925,0.00030200084515608365
0.1270454343320576,0.625,0.125,53.0,-0.00010658387507294873,0.00012860725383688783,-0.00020461739378890143,0.00026034554136530934
0.1270454343320576,0.675,0.125,75.0,-6.635693137326946e-05,7.524469635300487e-05,-0.0001261314702942274,0.00015460607265399188
0.1270454343320576,0.725,0.125,95.0,-7.688355412478504e-05,8.614808904232331e-05,-0.00014231685136208686,0.000177773568617557
0.1270454343320576,0.775,0.125,43.0,-0.0001600549759747116,0.0001418321047489812,-0.00033004698077974596,0.0002608840747878241
0.1270454343320576,0.825,0.125,11.0,-1.3613934992587941e-05,1.1072955411886717e-05,-2.8474408825887818e-05,1.962182095147557e-05
0.1614054238462,0.225,0.125,5.0,-0.0006019126561157551,0.0008333050249649034,-0.0010752987527475222,0.001687276632792329
0.1614054238462,0.275,0.125,12.0,-0.0004035238907443036,0.0005228217882334518,-0.0007646074131900877,0.0010655352631222625
0.1614054238462,0.325,0.125,19.0,-0.00035442160262160827,0.0003099906413255474,-0.0007179349955551964,0.0005866235522402674
0.1614054238462,0.375,0.125,25.0,-0.00027711689642413885,0.00027813657123115586,-0.0005666500088908051,0.0005525360196960994
0.1614054238462,0.425,0.125,36.0,-0.00021791123606300903,0.00024456928059191844,-0.00042596081279005035,0.00048557185281543916
0.1614054238462,0.475,0.125,39.0,-0.00021472305741962342,0.00024354165344241458,-0.0004148646131346106,0.0005102993934307448
0.1614054238462,0.525,0.125,42.0,-0.00014046102108784662,0.00016919461417545583,-0.00024962427903983024,0.0003562318998798705
0.1614054238462,0.575,0.125,43.0,-0.00016138905346295478,0.0001742581888372425,-0.00030798668311411855,0.0003592303151502378
0.1614054238462,0.625,0.125,53.0,-0.00013126904332638067,0.00013978744795186895,-0.00024839362485491143,0.0002997385218083873
0.1614054238462,0.675,0.125,76.0,-8.176056832587546e-05,8.871221920241638e-05,-0.00016421501008892888,0.0001759627308878323
0.1614054238462,0.725,0.125,95.0,-8.189348052450102e-05,9.225515447772093e-05,-0.0001564659740322114,0.00019043737747809303
0.1614054238462,0.775,0.125,43.0,-0.0001758776480602235,0.0001503239663311052,-0.0003479776074470406,0.00029245479500953985
0.1614054238462,0.825,0.125,11.0,-2.272707628400691e-05,1.680592199868341e-05,-4.671283303894467e-05,3.0176342986534092e-05
0.2050582217609055,0.225,0.125,5.0,-0.0009012191350359355,0.0011843389815227924,-0.0016355145819126893,0.002379409414339828
0.2050582217609055,0.275,0.125,12.0,-0.0006104410179125593,0.0007525320909523199,-0.001139243636664119,0.0015994438007335373
0.2050582217609055,0.325,0.125,19.0,-0.0005502158506576152,0.0004954606431716835,-0.0010947497783157457,0.0009244138510829258
0.2050582217609055,0.375,0.125,25.0,-0.00045225501701884,0.00043272589712042104,-0.0009109594259311314,0.0008313753555348701
0.2050582217609055,0.425,0.125,38.0,-0.00033502336790744544,0.00032748831268551807,-0.0006260855076990039,0.0006598506979690526
0.2050582217609055,0.475,0.125,38.0,-0.0003189154074502158,0.000356028218369457,-0.0006226915973205666,0.0007129797676946547
0.2050582217609055,0.525,0.125,41.0,-0.00019798156527904556,0.0002499048461896962,-0.00037753888769853454,0.0005141227398853675
0.2050582217609055,0.575,0.125,44.0,-0.00022330648078470626,0.0002599027444104688,-0.0004287267444036833,0.0004960965752678129
0.2050582217609055,0.625,0.125,52.0,-0.00016419080625738698,0.00019116568650620407,-0.00032392871250599807,0.000378436665035733
0.2050582217609055,0.675,0.125,76.0,-0.00013910897402891404,0.00012098656542949337,-0.000290814356711438,0.00023193829545431626
0.2050582217609055,0.725,0.125,94.0,-0.0001060348510971601,0.00011501787752254813,-0.00020203162123171234,0.00023883043887750003
0.2050582217609055,0.775,0.125,45.0,-0.00020698570713644583,0.0001747570820480988,-0.0004113884553780187,0.00034361197660217295
