k,f_b,z,n,error_68_m,error_68_p,error_95_m,error_95_p
0.100000000000002,0.325,0.125,5.0,-0.0003901107041664132,0.00028483923684388115,-0.0006749499410102944,0.0006054890796860278
0.100000000000002,0.375,0.125,11.0,-0.00011558655562063189,0.00015932669399666225,-0.00022276068290751758,0.000336084241858617
0.100000000000002,0.425,0.125,10.0,-0.00013120971974411755,0.00012931853229544162,-0.00025136664734160815,0.0002501632851120322
0.100000000000002,0.475,0.125,17.0,-0.00020246941542103228,0.0003111920877172833,-0.00038189524192687045,0.0006855367055120738
0.100000000000002,0.525,0.125,26.0,-0.00013884085570420963,0.00019608667677493822,-0.0002500048982067245,0.00041922017813416854
0.100000000000002,0.575,0.125,40.0,-0.00012219051662193866,0.00016291200561564144,-0.0002212905663372785,0.00033752784515459416
0.100000000000002,0.625,0.125,39.0,-0.00012005618326942714,0.00014978428635853254,-0.00021604698263870704,0.00033120747037785437
0.100000000000002,0.675,0.125,50.0,-6.94146041948683e-05,9.842935263039633e-05,-0.00012962830478709827,0.00020744642213844995
0.100000000000002,0.725,0.125,61.0,-6.728986261252466e-05,9.433927690631445e-05,-0.00013026323376275287,0.00018784332540332967
0.100000000000002,0.775,0.125,124.0,-5.6290851256390394e-05,6.201647281642802e-05,-0.00010630324259099269,0.0001249043242433241
0.100000000000002,0.825,0.125,98.0,-0.00010079305083770729,0.000101740774863486,-0.00019109219094507588,0.00019919307610959808
0.100000000000002,0.875,0.125,17.0,-5.87627175235596e-06,5.865344866220455e-06,-1.2012367164866557e-05,1.0946759161143225e-05
0.1270454343320575,0.325,0.125,6.0,-0.0006245033215503958,0.00051894730818286,-0.0012428080913230296,0.0009457042026935943
0.1270454343320575,0.375,0.125,12.0,-0.00016593675852411702,0.0001529168435768623,-0.00032720461822019015,0.00029527071608474286
0.1270454343320575,0.425,0.125,11.0,-0.00018499084977329335,0.00019117225104685359,-0.00033381044222977594,0.0003864648948746854
0.1270454343320575,0.475,0.125,17.0,-0.00028022954456760786,0.00037367969211627317,-0.000515997916257826,0.0007927070098049942
0.1270454343320575,0.525,0.125,26.0,-0.00015919254700835875,0.0002240130116027217,-0.0002809177135782154,0.0004966550398171097
0.1270454343320575,0.575,0.125,39.0,-0.00014802897693503458,0.00019210585699362283,-0.0002816951734897448,0.0003997900146585121
0.1270454343320575,0.625,0.125,42.0,-0.0001276544185908463,0.0001700473791279159,-0.0002494582687432375,0.00035067642270750877
0.1270454343320575,0.675,0.125,45.0,-8.494719185807166e-05,0.00011903529269421346,-0.00016667685235435698,0.0002477240253423989
0.1270454343320575,0.725,0.125,60.0,-7.98111948112705e-05,9.759719675988499e-05,-0.00014813918903187716,0.00020609323371822202
0.1270454343320575,0.775,0.125,127.0,-5.329194827824473e-05,6.23851733277286e-05,-0.00010282150935316804,0.00012759937125596214
0.1270454343320575,0.825,0.125,96.0,-0.00010130894574010815,0.00010400649313494749,-0.0001968325771134076,0.0002051401832030897
0.1270454343320575,0.875,0.125,17.0,-9.204201904396985e-06,8.17354205706512e-06,-1.8874607520537047e-05,1.599393928423501e-05
0.1614054238462049,0.325,0.125,7.0,-0.0009714999886340265,0.0007957072762662427,-0.001908136690580864,0.0014906517133508959
0.1614054238462049,0.375,0.125,12.0,-0.00025493124116125613,0.00027872501496130017,-0.000507991488816315,0.0005248644191271441
